SI_NO,Title,HTTPS_Link,Link,Price,Stock
39,Behind Closed Doors,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,behind-closed-doors_962/index.html,52.22,In stock
40,You can't bury them all: Poems,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,you-cant-bury-them-all-poems_961/index.html,33.63,In stock
41,Slow States of Collapse: Poems,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,slow-states-of-collapse-poems_960/index.html,57.31,In stock
42,Reasons to Stay Alive,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,reasons-to-stay-alive_959/index.html,26.41,In stock
43,Private Paris (Private #10),https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,private-paris-private-10_958/index.html,47.61,In stock
44,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,23.11,In stock
45,Without Borders (Wanderlove #1),https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,without-borders-wanderlove-1_956/index.html,45.07,In stock
46,When We Collided,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,when-we-collided_955/index.html,31.77,In stock
47,"We Love You, Charlie Freeman",https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,we-love-you-charlie-freeman_954/index.html,50.27,In stock
48,Untitled Collection: Sabbath Poems 2014,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,untitled-collection-sabbath-poems-2014_953/index.html,14.27,In stock
49,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,44.18,In stock
50,Unicorn Tracks,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,unicorn-tracks_951/index.html,18.78,In stock
51,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,25.52,In stock
52,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,16.28,In stock
53,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,31.12,In stock
54,This One Summer,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,this-one-summer_947/index.html,19.49,In stock
55,Thirst,https://books.toscrape.com/catalogue/thirst_946/index.html,thirst_946/index.html,17.27,In stock
56,The Torch Is Passed: A Harding Family Story,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,the-torch-is-passed-a-harding-family-story_945/index.html,19.09,In stock
57,The Secret of Dreadwillow Carse,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,the-secret-of-dreadwillow-carse_944/index.html,56.13,In stock
58,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,56.41,In stock
59,The Past Never Ends,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,the-past-never-ends_942/index.html,56.5,In stock
60,The Natural History of Us (The Fine Art of Pretending #2),https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,45.22,In stock
61,The Nameless City (The Nameless City #1),https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,the-nameless-city-the-nameless-city-1_940/index.html,38.16,In stock
62,The Murder That Never Was (Forensic Instincts #5),https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,the-murder-that-never-was-forensic-instincts-5_939/index.html,54.11,In stock
63,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,42.96,In stock
64,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,23.89,In stock
65,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,16.77,In stock
66,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,20.59,In stock
67,The Gutsy Girl: Escapades for Your Life of Epic Adventure,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,37.13,In stock
68,The Electric Pencil: Drawings from Inside State Hospital No. 3,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,56.06,In stock
69,The Death of Humanity: and the Case for Life,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,the-death-of-humanity-and-the-case-for-life_932/index.html,58.11,In stock
70,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,49.05,In stock
71,The Art Forger,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,the-art-forger_930/index.html,40.76,In stock
72,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,19.73,In stock
73,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,32.24,In stock
74,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,41.83,In stock
75,Soul Reader,https://books.toscrape.com/catalogue/soul-reader_926/index.html,soul-reader_926/index.html,39.58,In stock
76,Security,https://books.toscrape.com/catalogue/security_925/index.html,security_925/index.html,39.25,In stock
77,"Saga, Volume 6 (Saga (Collected Editions) #6)",https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,saga-volume-6-saga-collected-editions-6_924/index.html,25.02,In stock
78,"Saga, Volume 5 (Saga (Collected Editions) #5)",https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,saga-volume-5-saga-collected-editions-5_923/index.html,51.04,In stock
79,Reskilling America: Learning to Labor in the Twenty-First Century,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,19.83,In stock
80,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,50.4,In stock
81,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,13.61,In stock
82,Princess Between Worlds (Wide-Awake Princess #5),https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,princess-between-worlds-wide-awake-princess-5_919/index.html,13.34,In stock
83,"Pop Gun War, Volume 1: Gift",https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,pop-gun-war-volume-1-gift_918/index.html,18.97,In stock
84,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,36.28,In stock
85,Patience,https://books.toscrape.com/catalogue/patience_916/index.html,patience_916/index.html,10.16,In stock
86,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,15.44,In stock
87,orange: The Complete Collection 1 (orange: The Complete Collection #1),https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,48.41,In stock
88,Online Marketing for Busy Authors: A Step-By-Step Guide,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,46.35,In stock
89,On a Midnight Clear,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,on-a-midnight-clear_912/index.html,14.07,In stock
90,Obsidian (Lux #1),https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,obsidian-lux-1_911/index.html,14.86,In stock
91,My Paris Kitchen: Recipes and Stories,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,my-paris-kitchen-recipes-and-stories_910/index.html,33.37,In stock
92,Masks and Shadows,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,masks-and-shadows_909/index.html,56.4,In stock
93,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,14.02,In stock
94,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,46.91,In stock
95,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,45.61,In stock
96,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,19.92,In stock
97,"Layered: Baking, Building, and Styling Spectacular Cakes",https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,layered-baking-building-and-styling-spectacular-cakes_904/index.html,40.11,In stock
98,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,53.9,In stock
99,Join,https://books.toscrape.com/catalogue/join_902/index.html,join_902/index.html,35.67,In stock
100,In the Country We Love: My Family Divided,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,in-the-country-we-love-my-family-divided_901/index.html,22,In stock
101,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,57.36,In stock
102,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,29.17,In stock
103,I am a Hero Omnibus Volume 1,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,i-am-a-hero-omnibus-volume-1_898/index.html,54.63,In stock
104,How to Be Miserable: 40 Strategies You Already Use,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html,how-to-be-miserable-40-strategies-you-already-use_897/index.html,46.03,In stock
105,Her Backup Boyfriend (The Sorensen Family #1),https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,her-backup-boyfriend-the-sorensen-family-1_896/index.html,33.97,In stock
106,"Giant Days, Vol. 2 (Giant Days #5-8)",https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,giant-days-vol-2-giant-days-5-8_895/index.html,22.11,In stock
107,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,29.69,In stock
108,First and First (Five Boroughs #3),https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,first-and-first-five-boroughs-3_893/index.html,15.97,In stock
109,Fifty Shades Darker (Fifty Shades #2),https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,fifty-shades-darker-fifty-shades-2_892/index.html,21.96,In stock
110,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,54.35,In stock
111,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,37.97,In stock
112,Danganronpa Volume 1,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,danganronpa-volume-1_889/index.html,51.99,In stock
113,Crown of Midnight (Throne of Glass #2),https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,crown-of-midnight-throne-of-glass-2_888/index.html,43.29,In stock
114,"Codename Baboushka, Volume 1: The Conclave of Death",https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,codename-baboushka-volume-1-the-conclave-of-death_887/index.html,36.72,In stock
115,Camp Midnight,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,camp-midnight_886/index.html,17.08,In stock
116,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,29.14,In stock
117,Burning,https://books.toscrape.com/catalogue/burning_884/index.html,burning_884/index.html,28.81,In stock
118,Bossypants,https://books.toscrape.com/catalogue/bossypants_883/index.html,bossypants_883/index.html,49.46,In stock
119,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,37.92,In stock
120,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,28.09,In stock
121,Algorithms to Live By: The Computer Science of Human Decisions,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,30.81,In stock
122,A World of Flavor: Your Gluten Free Passport,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html,a-world-of-flavor-your-gluten-free-passport_879/index.html,42.95,In stock
123,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,56.76,In stock
124,A Murder in Time,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,a-murder-in-time_877/index.html,16.64,In stock
125,A Flight of Arrows (The Pathfinders #2),https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,a-flight-of-arrows-the-pathfinders-2_876/index.html,55.53,In stock
126,A Fierce and Subtle Poison,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html,a-fierce-and-subtle-poison_875/index.html,28.13,In stock
127,A Court of Thorns and Roses (A Court of Thorns and Roses #1),https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,52.37,In stock
128,(Un)Qualified: How God Uses Broken People to Do Big Things,https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,54,In stock
129,You Are What You Love: The Spiritual Power of Habit,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,21.87,In stock
130,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,43.3,In stock
131,Tuesday Nights in 1980,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html,tuesday-nights-in-1980_870/index.html,21.04,In stock
132,Tracing Numbers on a Train,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html,tracing-numbers-on-a-train_869/index.html,41.6,In stock
